Size Add Lookup Remove
16 0.06 0.03 0.05
32 0.06 0.04 0.07
64 0.09 0.05 0.08
128 0.08 0.05 0.10
256 0.14 0.07 0.14
512 0.11 0.07 0.14
1024 0.12 0.08 0.14
2048 0.14 0.09 0.18
4096 0.19 0.11 0.22
8192 0.19 0.12 0.23
16384 0.25 0.13 0.27
32768 0.25 0.16 0.29
