Size Add Lookup Remove
16 0.05 0.02 0.03
32 0.07 0.03 0.04
64 0.07 0.03 0.06
128 0.06 0.03 0.06
256 0.07 0.03 0.07
512 0.08 0.03 0.07
1024 0.07 0.04 0.08
2048 0.06 0.03 0.07
4096 0.09 0.04 0.08
8192 0.09 0.04 0.09
16384 0.09 0.04 0.10
32768 0.12 0.04 0.11
